CENTRAL,NODO,NUMCRUCE,DIRECCION,TIPO
50,14,128,AVENIDA PABLO IGLESIAS SAMANIEGO - P'UEBLO SAIHARAUI - ESPERANZA DE  LA TRINIDAD - PEDRO VALLINA,MFU
4,13,129,REPUBLICA ARGENTINA - VIRGEN DE CONSOLACION,DYNAMIC_T3
14,11,130,AVENIDA DE ANDALUCIA - VENCEJO - GORRION - AVENIDA DEL TRANSPORTE,MFU
14,18,131,NAVIOS ARGOS - CANDELILLA - CANDELON - GALAXIA,MFU
14,17,132,FEDERICO MAYO GAYARRE - CANDELILLA - PEDRO DE MADRID,MFU
14,20,133,AVENIDA JUAN XXIIl - AVENIDA DE LOS GAVILANES - AVENIDA DE LA MONTERIA - AVENIDA DE LA REVOLTOSA,MFU
13,6,134,AFAN DE RIBERA - OCHO DE MARZO ,MFU
13,5,135,GLORIETA CUZCO - CARRETERA SU EMINENCIA - AVENIDA DE HYTASA - OCHO DE MARZO - AGUILA PERDICERA,RTAC
13,4,136,AVENIDA HYTASA - GALICIA - ANDALUCIA AMARGA,RTAC
21,12,137,AVENIDA DE PORTUGAL - DIEGO DE RIA—O,MTR/2
21,16,138,AVENIDA DE LA BORBOLLA - BRASIL,SENTINEL
7,18,139,AVENIDA REINA MERCEDES - PAEZ DE RIVERA - ISAAC PERAL,MF5
7,2,140,GLORIETA ALCALDE FERNANDO DE PARIAS MERRY - AVENIDA REINA MERCEDES - PADRE GARCIA TEJERO - HONDURAS,MF5
7,22,141,PADRE GARCIA TEJERO - MONZON,MF5
7,23,142,PADRE GARCIA TEJERO - SAN ANTONIO MARIA CLARET - DOCTOR FLEMING,MF5
6,7,143,VIRGEN DE LUJAN - SANTA FE,DYNAMIC
5,7,144,LOPEZ DE GOMARA - JUAN DIAZ DE SOLIS - EVANGELISTA,DYNAMIC
6,17,145,RUBEN DARIO - JUAN DIAZ DE SOLIS - SAN JOSE DE CALASANZ,RTAC
6,18,146,RUBEN DARIO - ALVAR NU—EZ,RTAC
5,9,147,ESPERANZA DE TRIANA - TRABAJO,DYNAMIC
5,11,148,SAN VICENTE DE PAUL - SANTA CECILIA,RTAC
3,18,149,PUENTE CRISTO DE LA EXPIRACION - PLAZA DE CHAPINA - ODIEL,DYNAMIC
6,8,150,AVENIDA FLOTA DE INDIAS - ALFONSO DE ORLEANS - AVENIDA DE ALFREDO KRAUS - VIRGEN DE LA    OLIVA,DYNAMIC
7,8,151,GLORIETA DE MEJICO,MF5
9,2,152,AVENIDA RAMON Y CAJAL - AVENIDA SAN FRANCISCO JAVIER - AVENIDA DIEGO MARTINEZ BARRIOS,MTR/4
9,5,153,AVENIDA RAMON Y CAJAL - AVENIDA CIUDAD JARDIN - AVENIDA ALCALDE JUAN FERNANDEZ,DYNAMIC
5,14,154,CARRETERA MURO DE DEFENSA - AVENIDA DE CORIA,RTAC
9,12,155,AVENIDA CIUDAD JARDIN - FRANCISCO BUENDIA,MTR/3
51,8,156,MEDINA Y GALNARES - CATALU—A - RONDA DEL TAMARGUILLO,MF5
51,6,157,GLORIETA MANUEL RIVAS TRUJILLO (NAVARRA - CATALU—A - MEJILLON - MELILLA),MF5
22,4,158,DOCTOR FEDRIANI - HUERTA DE LA FONTANILLA - CEMENTERIO (DR.FEDRIANI-CEMENTERIO),DYNAMIC_T3
7,11,159,AVENIDA MANUEL SIUROT - GENARO PARLADE,MF5
10,28,160,PP. AVENIDA DE LA BUHAIRA - ACCESO JARDINES DE LA BUHAIRA,MF5
9,8,161,PAULO OROSIO - CARLOS GARCIA OVIEDO,RTAC
20,1,162,AVENIDA DE [TALIA - AVENIDA DE JEREZ - ELCHE (N.IV-PINEDA-ACC. BDA. ELCANO),MF5
7,5,163,AVENIDA DE LA PALMERA - CHAVES REY,MF5
9,9,164,PAULO OROSIO - BEATRIZ DE AHUMADA - DOCTOR SERRANO PEREZ ,MTR/2
12,3,165,PP. AVENIDA PINO MONTANO - CONSTANTINA - FAURA,MFU
12,6,166,AVENIDA PINO MONTANO - ROQUE BALDUQUE - ANTONIO CABRAL BEJARANO,MFU
10,5,167,AVENIDA EDUARDO DATO - VIRGEN DE VALVANERA,MTR/2
17,4,168,AVENIDA DE BELLAVISTA - GASPAR CALDERAS - ASENSIO Y TOLEDO - CAMINO DE LA ERMITA DE LA V.DE VALME ,DYNAMIC
11,24,169,SAMANIEGO - IMAGINERO LUIS ALVAREZ DUARTE - SAN PAGES,DYNAMIC
8,5,170,RONDA DEL TAMARGUILLO - AVENIDA DE LA PAZ,MF
8,4,171,AVENIDA DE LA PAZ - NTRA. SRA. DE LAS MERCEDES - AMORES Y AMORIOS,SENTINEL
51,21,172,PP. CARRETERA DE BRENES - SAN CAYETANO - SE-112 (PP. CARRETERA BRENES (A8008)),DYNAMIC
50,29,173,AVENIDA DO√ëA FRANCISQUITA - SIMON BOLIVAR - LOS CLAVELES,MFU
9,14,174,AVENIDA ALCALDE JUAN FERNANDEZ - CLAUDIO GUERIN,SENTINEL
52,32,175,AVENIDA DE LA CRUZ DEL CAMPO - ALEJANDRO COLLANTES,DYNAMIC
9,13,176,AVENIDA ALCALDE JUAN FERNANDEZ - ALBERCHE,SENTINEL
9,11,177,AVENIDA   CIUDAD   JARDIN,MTR/2
10,17,178,AVENIDA DE LA CRUZ DEL CAMPO,MTR/2
14,8,179,TESALONICA - DAMASCO - JERUSALEN - LUIS MAZZANTINI,MFU
50,23,180,PP. AVENIDA DE JEREZ - MALLORCA,MF5
11,2,181,CARRETERA CARMONA - LOPEZ DE LEGAZPI - SANTA MARIA DE LEZAMA,MFU
1,10,182,ARROYO - SALESIANOS - URQUIZA,SENTINEL
2,10,183,AVENIDA SANCHEZ PIZIUAN - DIAMANTE,DYNAMIC
52,31,184,PP.SU EMINENCIA - ACCESO PARQUE GUADAIRA,RTAC
11,13,185,AVENIDA KANSAS CITY - TESALONICA - AVENIDA VEINTIOCHO DE FEBRERO,MFU
23,5,186,CORTIJO DE LAS CASILLAS - ESPARTEROS,DYNAMIC_T3
23,6 ,187,CORTIJO DE LAS CASILLAS - CAMINO DE LOS TOROS,DYNAMIC
10,20,188,AVENIDA LUIS DE MORALES - LUIS ARENAS LADISLAO,DYNAMIC
8,9,189,AVENIDA DE LA PAZ - ACCESO POLIGONO NAVISA - TORRE DE DAVID,DYNAMIC
8,21,190,FELIPE II - JES⁄S DE LA VICTORIA,MTR/2
15,11,191,SECOYA - ALGODONERA - NUCLEO INDUSTRIAL VIRGEN DE LOS REYES,DYNAMIC
10,22,192,AVENIDA LUIS MONTOTO - SAN BENITO - MANUEL HALCON,MF
2,13,193,DOCTOR FEDRIANI - MANZANA,DYNAMIC_T3
51,11,194,MEDINA Y GALNARES - MIGUEL ROMERO MARTINEZ - CAZON - ALMIRANTE VALDES,MF5
7,13,195,AVENIDA MANUEL SIUROT - DOMINGO TEJERA,MF5
10,3,196,AVENIDA EDUARDO DATO - SAN JUAN DE DIOS - JOSE LUIS DE CASSO,DYNAMIC
9,1,197,AVENIDA RAMON Y CAJAL - AVION CUATRO VIENTOS - ENRAMADILLA,DYNAMIC
12,21,198,AVENIDA SAN JUAN DE LA SALLE - CISNEO ALTO - FAURA - ROMERO,MFU
11,4,199,AVENIDA MIRAFLORES - ALMADEN DE LA PLATA - GENERAL MARVA,MFU
13,8,200,AVENIDA DE LOS GAVILANES - AVENIDA DO—A FRANCISQUITA - PUERTO DE PIEDRAFITA,RTAC
15,16,201,CIUDAD DE CHIVA - CIUDAD DE LIRIA - TURIA,DYNAMIC
15,17,202,CIUDAD DE CHIVA - AVENIDA DE ILDEFONSO MARA—ON LAVIN,RTAC
1,9,203,PLAZA DE ANTONIO MARTELO - ARROYO - SAN JUAN BOSCO,MTR/2
9,18,204,VILLEGAS MARMOLEJOS - SANTA MARIA MAZZARELLO,MTR/2
8,10,205,RONDA NUESTRA SE—ORA DE LA OLIVA - AVENIDA DE LAS LETANIAS,DYNAMIC
4,17,206,REPUBLICA ARGENTINA - VIRGEN DE AFRICA - VIRGEN DE FATIMA,DYNAMIC
21,14,207,AVENIDA DE LA BORBOLLA - LAS CRUZADAS,SENTINEL
21,15,208,PP. AVENIDA DE LA BORBOLLA - CUARTEL DE INGENIEROS,SENTINEL
3,22,209,TORNEO - PUERTA DE SAN JUAN DE ACRE (ANTIGUA GUADALQUIVIR),SENTINEL
2,21,210,SAN JER”NIMO - TRAVIESA,DYNAMIC
1,19,211,PLAZA SAN PEDRO - PLAZA CRISTO DE BURGOS - IMAGEN - ALMIRANTE APODACA,DYNAMIC
1,16,213,ARROYO - JOSE LAGUILLO,SENTINEL
11,23,214,ARROYO - FRANCISCO ARI—O - SAMANIEGO,MFU
1,17,215,PU—ONROSTRO - VALLE - JAUREGUI - PUERTA DEL OSARIO,DYNAMIC
12,2,216,AVENIDA MIRAFLORES - SANTA M. ORDAZ - MARGARITA - CONDE DE HALCON - ALHELI - SANTA M. DE LOS REYES,MFU
4,1,217,PASEO COLON - DOS DE MAYO,MF4/2
14,4,218,AVENIDA MONTES SIERRA - UTRERA DE MOLINA - ADA - TESALONICA,MFU
11,3,219,CARRETERA CARMONA,MFU
9,15,220,AVENIDA SAN FRANCISCO JAVIER - SANTA JOAQUINA DE VEDRUNA - CAMILO JOSE CELA,DYNAMIC
50,22,221,CARRETERA SU EMINENCIA - LUIS ORTIZ MU—OZ - POLIGONO SUR,MF5
13,3,222,AVENIDA  HYTASA - JOSE MARIA DE PEREDA   - PEDRO MU—OZ TORRES,MFU
54,2,223,AVENIDA CONSTITUCION - SANTO TOMAS,MG
54,1,224,AVENIDA CONSTITUCION - ALEMANES,MG
4,8,225,PASEODELAS DELICIAS - LA RABIDA,SENTINEL
50,15,226,PLAZA DEL DUQUE - CAMPANA - AMOR DE DIOS - JAVIER LASSO DE LA VEGA - TARIFA,MF5
